titulo,fecha_publicación,num_paginas,ranking,num_votantes_libro,num_comentarios,id_idioma,id_editorial
Crazy Lady!,1/19/1995,192,3.64,1510,100,eng,897
The Road to Gandolfo,2/1/1992,320,3.64,5141,160,eng,193
The Lighthouse at the End of the World,3/20/2001,260,3.64,1752,40,eng,755
What The Lady Wants,10/25/2002,256,3.64,5707,243,eng,1288
Five Rings of Fire (Able Team #11),2/23/1984,0,3.64,39,2,eng,791
In the Royal Manner : Expert Advice on Etiquette and Entertaining from the Former Butler to Diana Princess of Wales,12/14/2008,144,3.64,47,3,eng,2192
Prince of Magic,12/1/1998,348,3.64,260,17,eng,2271
Adam and Eve and Pinch Me,1/14/2003,368,3.64,1932,131,eng,2147
Three Genres: Writing Fiction/Literary Nonfiction Poetry and Drama,7/1/2006,476,3.64,36,3,eng,1613
Science Notebooks: Writing about Inquiry,7/2/2003,112,3.64,55,6,eng,960
It's Winter,9/1/2002,32,3.64,88,14,eng,721
The Inner Sanctum,7/1/1998,448,3.64,472,36,eng,1834
La fortaleza digital,2/1/2006,440,3.65,1078,76,spa,2064
Noces,4/7/1993,101,3.65,184,20,fre,771
Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,4/1/2005,288,3.65,401,63,eng,1736
Night of Long Shadows (Eberron: Inquisitives #2),5/8/2007,306,3.65,152,14,eng,2245
Goodnight Nobody,5/2/2006,400,3.65,54117,1849,eng,2198
Lost Continents,6/1/1970,363,3.65,108,10,eng,599
The Moon in the Gutter,12/8/1998,183,3.65,350,40,eng,1814
The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting,3/4/2002,131,3.65,11,0,eng,77
The Little Book of Coaching: Motivating People to Be Winners,1/23/2001,128,3.65,73,12,eng,883
Growing Up Untouchable in India: A Dalit Autobiography,12/20/2000,224,3.65,16,4,eng,1745
A Million Little Pieces,9/22/2005,515,3.65,206011,10821,eng,96
Avalanche,1/1/1989,144,3.65,273,36,eng,1786
Sex For Dummies,12/28/2000,432,3.65,10,0,eng,742
The Tenants,9/18/2003,248,3.65,662,50,eng,696
Doctor Copernicus (The Revolutions Trilogy #1),10/12/1993,242,3.65,583,60,eng,2139
Edward Lear's Book of Nonsense: With Lear's Original Illustrations,11/1/1995,46,3.65,71,8,eng,1245
Book of the Dead (Kay Scarpetta #15),11/1/2007,511,3.65,23107,1295,eng,1646
Mr. Christmas,9/14/2006,40,3.65,202,17,eng,1624
Eleanor Rigby,5/30/2006,272,3.65,8517,372,eng,302
Angels & Insects,3/29/1994,292,3.65,7,0,eng,2140
The Confidence-Man,11/11/1999,361,3.65,1876,161,eng,1453
The Short History of a Prince,4/1/1999,432,3.65,1799,121,eng,280
A Complicated Kindness,8/17/2005,253,3.65,17963,1023,eng,470
John Henry Days,5/14/2002,400,3.65,1940,186,eng,94
The Love of the Last Tycoon,4/14/1995,169,3.65,7135,386,eng,1800
The Awakening,9/17/1993,336,3.65,937,72,eng,2172
Haussmann or the Distinction,10/2/2002,379,3.65,157,21,eng,1556
Law of Enclosures,2/1/1997,320,3.65,72,2,eng,2198
The Drift House: The First Voyage,11/1/2006,437,3.65,618,69,eng,299
The Fall of the Kings (Riverside #3),9/30/2003,510,3.65,1869,128,eng,193
Hunters of Dune (Dune Chronicles #7),8/22/2006,524,3.65,10798,274,eng,2024
A Killing in Comics (Jack & Maggie Starr #1),5/1/2007,272,3.65,151,29,eng,262
The Iliad (SparkNotes Literature Guides),1/10/2002,88,3.65,23,3,eng,1888
The Making of a Philosopher: My Journey Through Twentieth-Century Philosophy,7/8/2003,256,3.65,226,31,eng,888
Jemima J.: For those who love Faking Friends and My Sweet Revenge by Jane Fallon,8/6/1998,450,3.65,683,66,eng,1498
Among the Dolls,5/2/2006,96,3.65,548,84,eng,1914
Reason in History,12/24/1995,95,3.65,451,17,eng,1484
Lights Out,6/25/2002,352,3.65,208,16,eng,701
The Truelove Bride,6/1/1999,357,3.65,377,25,eng,193
Gloriana,8/1/2004,496,3.65,1742,64,eng,137
The Communist Manifesto and Other Writings,10/1/2005,224,3.65,26,0,eng,2291
Philosophy for Dummies,9/17/1999,361,3.65,532,47,eng,742
The Day of the Tempest (Dragonlance: Dragons of a New Age #2),8/1/2002,352,3.65,1365,16,eng,2245
Quicksand,6/24/1995,224,3.65,1060,90,eng,2139
The Shattered Land (Eberron: The Dreaming Dark #2),2/7/2006,374,3.65,515,21,eng,2245
Star Trek: Logs Five and Six (Star Trek: Log #5-6),9/5/2006,388,3.65,35,0,eng,530
The Last Story (Remember Me #3),9/1/2002,256,3.65,2208,62,eng,1863
The Secret Sister,10/25/2005,416,3.65,1181,48,eng,169
Captain Cat,4/22/1994,48,3.65,110,15,eng,897
The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting,10/1/2005,160,3.65,5,1,eng,77
How to Read Literature Like a Professor,11/14/2014,314,3.65,16550,1826,eng,888
Love Overboard,2/1/2005,244,3.65,11448,338,eng,923
Love Overboard,1/25/2005,5,3.65,95,22,eng,896
Goth-Icky: A Macabre Menagerie of Morbid Monstrosities,9/1/2005,176,3.65,147,11,eng,929
Solo,9/2/2002,421,3.65,3362,127,eng,953
The Au Pairs (The Au Pairs #1),5/31/2005,294,3.65,6140,244,eng,1855
The Last Eyewitness: The Final Week,5/10/2006,144,3.65,23,6,eng,1990
Mammoth Book Of Lesbian Short Stories (Mammoth Books),6/24/1999,512,3.65,7,1,eng,2291
El azul de la virgen,10/1/2004,411,3.66,50,5,spa,1642
El ojo de fuego,2/1/2007,496,3.66,18,1,spa,1649
Bella y oscura,3/1/2006,204,3.66,293,31,spa,1571
Le ravissement de Lol V. Stein,6/25/1976,192,3.66,485,38,fre,771
The Ravishing of Lol Stein,3/12/1986,181,3.66,2057,128,eng,1466
Trump: The Art of the Deal,12/28/2004,384,3.66,12748,948,eng,189
Babbitt,9/22/2003,320,3.66,249,29,eng,596
Eden Close,10/4/2005,265,3.66,8661,447,eng,1232
You: On a Diet: The Owner's Manual for Waist Management,10/31/2006,370,3.66,4403,405,eng,756
With Her Last Breath,6/24/2003,384,3.66,112,11,eng,169
If I Have a Wicked Stepmother Where's My Prince?,9/1/2005,283,3.66,4393,432,eng,576
Dark Water (Fog Point #1),4/18/2006,354,3.66,186,25,eng,2200
The Non-Designer's Web Book,9/26/2005,335,3.66,212,19,eng,1483
The Santaroga Barrier,9/16/2002,256,3.66,1625,85,eng,2024
Flaubert's Parrot,11/27/1990,190,3.66,9373,606,eng,2139
The Virgin Blue,6/24/2003,304,3.66,26029,1588,eng,1498
Athena (The Freddie Montgomery Trilogy #3),5/28/1996,240,3.66,387,29,eng,2139
Shroud (The Cleave Trilogy #2),6/8/2004,257,3.66,974,81,eng,2139
Battle for the Planet of the Apes,6/1/1973,158,3.66,461,10,eng,175
Shopaholic and Sister (Shopaholic #4),11/28/2006,388,3.66,76205,1867,eng,541
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,12/26/2006,208,3.66,52688,2463,eng,3
The Group,9/1/1964,397,3.66,61,17,eng,1834
Falconer,7/7/1977,224,3.66,7,0,eng,1680
The Armies of the Night: History as a Novel the Novel as History,1/1/1995,304,3.66,2500,188,eng,1583
Kitty and the Midnight Hour (Kitty Norville #1),11/1/2005,259,3.66,27510,1541,eng,10
The Ice Storm,4/10/2002,288,3.66,4592,334,eng,182
Anthonology,4/15/1986,384,3.66,710,18,eng,2024
Hallowe'en Party (Hercule Poirot #39),9/3/2001,336,3.66,20656,1246,eng,879
Things Fall Apart: An Adapted Classic,4/17/2000,113,3.66,43,0,eng,789
Success,4/3/1991,224,3.66,2191,101,eng,2139
What Life Was Like in the Jewel in the Crown: British India AD 1600-1905,9/1/1999,168,3.66,44,4,eng,2001
On the Road to Perdition — Oasis Sanctuary and Detour — (Road to Perdition #2),12/1/2004,294,3.66,168,14,eng,519
Z for Zachariah,7/10/2007,250,3.66,1030,231,eng,1863
Slowness,4/11/1997,156,3.66,9760,402,eng,888
The Death and Rebirth of the Seneca,4/12/1972,416,3.66,102,5,eng,2139
The Professor of Desire,10/5/1995,272,3.66,2016,113,eng,2139
The Ministry of Special Cases,4/24/2007,339,3.66,2509,368,eng,1105
A Secret Splendor,2/28/2006,280,3.66,1328,32,eng,1291
A Secret Splendor,1/1/1996,297,3.66,18,2,eng,1290
Malcolm X: A Graphic Biography,11/14/2006,112,3.66,601,106,eng,979
Breathing Lessons,9/26/2006,350,3.66,20474,1140,eng,189
Jennifer Government,2/5/2004,352,3.66,10771,921,eng,15
Story of a Girl,1/10/2007,192,3.66,15106,1558,eng,2291
The Time of the Ghost,1/1/1981,291,3.66,2122,123,eng,925
Her Highness My Wife (Effingtons #5),7/30/2002,362,3.66,992,47,eng,173
The Delta Star,1/1/1984,291,3.66,592,20,eng,193
Maggie: A Girl of the Streets and Other Tales of New York,3/29/2001,272,3.66,2476,32,eng,1515
Sixty Days and Counting (Science in the Capital #3),2/27/2007,388,3.66,1642,136,eng,203
They Came from Below,6/26/2007,299,3.66,189,42,eng,2024
Mike Nelson's Death Rat!,4/15/2003,336,3.66,450,44,eng,557
Are You Afraid of the Dark?,7/1/2005,401,3.66,23924,681,eng,905
Creepers,9/26/2005,388,3.66,4513,515,eng,376
Clave Red Rabbit (Jack Ryan #2),2/1/2006,720,3.67,8,0,spa,1571
Die Leiden des Jungen Werther,1/1/1998,142,3.67,24,1,ger,330
Robinson Crusoe,12/19/1994,436,3.67,585,63,eng,2176
Three Complete Novels: Tim/An Indecent Obsession/The Ladies of Missalonghi,2/14/1999,768,3.67,39,7,eng,2239
Next: The Future Just Happened,5/17/2002,240,3.67,1317,106,eng,2291
How to Think Theologically,1/1/2006,142,3.67,235,22,eng,745
The Sorrows of Young Werther,8/15/2006,104,3.67,16,0,eng,1307
Madame Bovary (Critical Editions),12/19/2004,576,3.67,401,33,eng,2176
Aliens: Nightmare Asylum,4/1/1993,277,3.67,1118,54,eng,1892
Double Dealer (CSI: Crime Scene Investigation #1),4/1/2003,320,3.67,1029,53,eng,1586
Dragon's Gate (Golden Mountain Chronicles #3),1/23/2001,352,3.67,1845,128,eng,897
Reluctant Burglar (To Catch a Thief #1),8/15/2006,345,3.67,177,27,eng,1325
JLA Vol. 14: Trial by Fire,10/1/2004,144,3.67,192,12,eng,519
Killing the Imposter God: Philip Pullman's Spiritual Imagination in His Dark Materials,9/1/2007,224,3.67,42,12,eng,1079
The Power of One: The Solo Play for Playwrights Actors and Directors,2/7/2000,240,3.67,10,0,eng,959
Monkey Business,9/24/2004,392,3.67,3379,67,eng,1703
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,6/15/2005,344,3.67,360,26,eng,494
Escape from Fire Mountain (World of Adventure #3),1/1/1995,80,3.67,114,17,eng,2261
Robinson Crusoe (Robinson Crusoe #1),6/12/2001,320,3.67,209122,4131,eng,1301
Robinson Crusoe,3/27/2003,286,3.67,1507,142,eng,1515
Robinson Crusoe,7/1/2001,482,3.67,204,32,eng,53
Robinson Crusoe,7/14/2006,288,3.67,311,18,eng,101
One L: The Turbulent True Story of a First Year at Harvard Law School,9/1/1997,288,3.67,6093,447,eng,2193
The Elephant War,10/1/2000,256,3.67,19,3,eng,1065
Waiting for My Cats to Die: A Memoir,1/17/2002,320,3.67,177,28,eng,1900
Robinson Crusoe,4/1/2003,312,3.67,350,49,eng,218
Smitten (Elsie Hawkins #2),7/25/2006,234,3.67,11968,387,eng,923
Eaters of the Dead,8/29/2006,304,3.67,28367,1096,eng,169
Saint Joan/Major Barbara/Androcles and the Lion,11/12/1979,479,3.67,11,5,eng,1304
Cliffsnotes on Beckett's Waiting for Godot and Other Plays,7/28/1980,72,3.67,3,0,eng,428
A Friend of the Earth,10/8/2001,275,3.67,30,3,eng,297
The Wild Swans,11/1/2001,464,3.67,352,37,eng,137
Women in Love,1/15/2003,416,3.67,25059,702,eng,596
Things to Bring S#!t to Do: And Other Inventories of Anxiety: My Life in Lists,10/1/2006,160,3.67,48,12,eng,2291
The Memory Keeper's Daughter,5/30/2006,401,3.67,535636,17550,eng,1498
There's No Place Like Here,9/4/2007,340,3.67,1926,314,eng,837
Finnegans Wake,11/4/2002,628,3.67,9780,591,eng,680
The Death and Life of Sylvia Plath,7/24/2003,224,3.67,453,24,eng,1939
Points in Time,10/31/2006,96,3.67,181,26,eng,621
A Kiss Before Dying (Sweet Valley High #122),2/1/1996,197,3.67,267,7,eng,193
House of the Sleeping Beauties and Other Stories,2/6/2004,148,3.67,3581,224,eng,1109
Barron's Book Notes: Lord of the Flies,10/1/1984,120,3.67,6,0,eng,222
The Color of Her Panties (Xanth #15),9/1/1992,342,3.67,7374,64,eng,659
Ego and Hubris: The Michael Malice Story,4/11/2006,160,3.67,390,57,eng,189
Ariadne's Web (Book of the Gods #2),1/15/2001,432,3.67,172,3,eng,2026
The Sorrows of Young Werther,2/8/2005,149,3.67,45626,1721,eng,1301
The Wall of the Sky the Wall of the Eye,3/5/2007,304,3.67,1158,95,eng,1232
As She Climbed Across the Table,2/24/1998,212,3.67,4488,380,eng,2139
The Quiet Little Woman: A Christmas Story,4/21/2009,122,3.67,1195,191,eng,998
Teleny or the Reverse of the Medal,3/7/2006,138,3.67,985,63,eng,1307
Rameau's Nephew / D'Alembert's Dream,10/28/1976,237,3.67,1292,67,eng,1498
Madame Bovary,12/31/2002,327,3.67,3620,394,eng,1515
Madame Bovary,10/1/2006,0,3.67,3,0,eng,1946
Red Rabbit (Jack Ryan #2),8/26/2002,640,3.67,23018,514,eng,765
Thornhold (The Harpers #16,12/27/2011,9,3.67,384,1023,eng,2245
House Harkonnen (Prelude to Dune #2),8/28/2001,733,3.67,13161,206,eng,1892
Hype and Glory,3/13/1991,306,3.67,129,14,eng,2136
Boys and Girls Together,7/31/2001,768,3.67,753,59,eng,189
All Families Are Psychotic,7/1/2002,279,3.67,361,32,eng,888
Valentine Princess (The Princess Diaries #7.75),12/12/2006,96,3.67,9517,219,eng,921
Aphrodite's Flame (Superhero Central #4),8/1/2004,338,3.67,385,16,eng,1197
Nova Express (The Nova Trilogy #3),1/21/1994,192,3.67,2541,70,eng,824
Inside Job,6/1/2005,99,3.67,1442,180,eng,1928
That Same Flower: Floria Aemilia's Letter to St. Augustine,2/28/1998,167,3.67,70,12,eng,696
McGraw-Hill's SAT I (McGraw-Hill's SAT I),10/1/2005,890,3.67,0,0,eng,1252
Birthday (Ring #4),12/12/2006,216,3.67,866,37,eng,2122
Me vs. Me,7/25/2006,311,3.67,1725,120,eng,1703
Monkey Business,4/15/2005,400,3.67,1,0,eng,1292
Medal of Honor: Rising Sun (Prima's Official Strategy Guide),11/18/2003,96,3.67,3,1,eng,1625
Plato on Knowledge and Reality,6/15/1976,272,3.67,6,0,eng,2291
A Companion to Plato's Republic,5/1/1979,288,3.67,25,0,eng,2291
Veil: The Secret Wars of the CIA 1981-1987,7/1/2005,592,3.67,758,48,eng,1850
Anesthesiology Review,9/21/2001,595,3.67,12,0,eng,409
A Box of Matches,3/9/2004,192,3.67,1679,192,eng,2139
The Secret Swan,4/3/2001,393,3.67,695,51,eng,193
Nightsword (Starshield #2),8/3/1999,404,3.67,159,5,eng,532
Well of Darkness (Sovereign Stone #1),9/4/2001,562,3.67,2049,49,eng,923
Robinson Crusoe,9/16/1999,306,3.67,125,3,eng,1453
The Brief History of the Dead,1/9/2007,252,3.67,9490,1576,eng,2139
The Black Road (Diablo #2),4/2/2002,360,3.67,1224,18,eng,1911
The Diary of Ellen Rimbauer: My Life at Rose Red,4/29/2001,277,3.67,7852,352,eng,1018
The Weekend Novelist,4/1/2005,266,3.67,368,36,eng,271
The Week-End Book,5/4/2006,368,3.67,31,7,eng,929
Song of Cthulhu: Tales of the Spheres Beyond Sound,12/3/2005,211,3.67,45,4,eng,386
The Ties That Bind: Life's Most Essential Knots and Ties,10/26/2004,80,3.67,3,1,eng,929
Spencerville,3/1/2008,564,3.67,49,6,eng,1894
The Reed Cutter & Captain Shigemoto's Mother,6/24/1995,180,3.67,137,14,eng,2139
Star Bright (Star Power #8),4/26/2005,160,3.67,3,0,eng,54
Justice Oliver Wendell Holmes: Law and the Inner Self,12/19/1995,648,3.67,17,2,eng,2291
Wicked Dreams,9/1/2006,112,3.67,3,0,eng,342
Evelina,7/18/2002,455,3.67,12101,495,eng,1453
Monkeys,8/8/2000,176,3.67,1219,105,eng,2139
The Rocky Road to Romance (Elsie Hawkins #4),11/29/2011,249,3.67,9669,315,eng,879
The Rocky Road to Romance (Elsie Hawkins #4),8/31/2004,5,3.67,93,26,eng,896
The Angry Hills,1/1/1984,245,3.67,1163,50,eng,193
Inventive Paris clothes: 1909-1939 - a photographic essay,5/26/1978,95,3.67,3,0,eng,1525
La Tierra es plana: Breve historia del mundo globalizado del siglo XXI,1/1/2006,495,3.68,38,0,spa,1571
叫んでやるぜ! (1) (あすかコミックスCL-DX),2/1/1996,165,3.68,2,0,jpn,2288
Hitler's Willinge Vollstrecker: Ganz gewöhlnliche Deutsche und der Holocaust,7/1/1999,728,3.68,6,1,ger,2291
Vengeance (Joe Kurtz #1),10/31/2001,243,3.68,1,0,fre,638
Mao II,10/27/2001,278,3.68,10,1,fre,180
Une oeuvre déchirante d'un génie renversant,4/10/2003,536,3.68,4,0,fre,1063
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,1/28/1997,108,3.68,77,2,eng,139
Strange Attractions,11/1/2005,312,3.68,1221,66,eng,253
Zolar's Encyclopedia and Dictionary of Dreams: Fully Revised and Updated for the 21st Century,6/8/2004,480,3.68,72,4,eng,152
Picture This,3/24/2000,352,3.68,1219,67,eng,1864
Hardcase (Joe Kurtz #1),8/19/2002,291,3.68,1067,61,eng,1287
The Mambo Kings Play Songs of Love,7/5/2005,448,3.68,132,19,eng,888
Summer of my German Soldier,4/20/2006,240,3.68,832,91,eng,1639
Female Chauvinist Pigs: Women and the Rise of Raunch Culture,10/3/2006,236,3.68,8511,765,eng,756
A Separate War and Other Stories,8/1/2006,270,3.68,342,35,eng,31
Slightly Settled (Slightly #2),1/23/2004,312,3.68,4756,84,eng,1703
Lord of the Flies,7/1/1959,208,3.68,479,57,eng,1536
Bullshit and Philosophy,10/25/2006,288,3.68,72,9,eng,1420
Philosophy of Religion,11/20/1989,160,3.68,180,11,eng,1484
The Body in the Lighthouse,3/30/2004,352,3.68,434,28,eng,169
Boys that Bite (Blood Coven Vampire #1),4/4/2006,272,3.68,10669,498,eng,252
Leadership in Organizations,7/7/2005,542,3.68,55,4,eng,1613
Hitler's Willing Executioners: Ordinary Germans and the Holocaust,3/3/1997,634,3.68,87,7,eng,15
A Passage to India,9/3/1998,288,3.68,441,40,eng,1498
Tropic of Cancer,1/6/1994,318,3.68,53206,2376,eng,824
Love Letters,7/1/1999,178,3.68,203,8,eng,1415
Lord of the Flies,10/11/2005,6,3.68,408,96,eng,1161
For the New Intellectual: The Philosophy of Ayn Rand,12/1/1963,224,3.68,2750,108,eng,1835
Interface,5/31/2005,640,3.68,4731,270,eng,1891
The World Is Flat: A Brief History of the Twenty-first Century,4/18/2006,616,3.68,87570,2800,eng,2291
Cold Counsel: Women in Old Norse Literature and Myth,12/21/2002,320,3.68,19,2,eng,1740
The Pigeon,6/29/1989,77,3.68,6254,423,eng,1492
My Secret Garden: Women's Sexual Fantasies,10/28/2003,361,3.68,1817,123,eng,1586
The Subterraneans,9/6/2007,192,3.68,426,42,eng,1509
Original Sin: Illuminating the Riddle,10/2/2000,158,3.68,64,16,eng,1059
Innocent Blood,8/2/2001,400,3.68,3793,286,eng,1800
Children Playing Before a Statue of Hercules,8/1/2005,344,3.68,6490,463,eng,1850
My Favorite Year: A Collection of Football Writing,8/1/2001,288,3.68,393,4,eng,1436
A Heartbreaking Work of Staggering Genius,2/13/2001,485,3.68,157572,8463,eng,2139
Downfall (Dragonlance: Dhamon Saga #1),3/1/2001,397,3.68,878,9,eng,2245
The King of Torts,12/27/2005,276,3.68,68098,1705,eng,544
Motor Mouth (Alex Barnaby #2),10/3/2006,312,3.68,22251,671,eng,897
Predator (Kay Scarpetta #14),10/1/2006,453,3.68,23630,842,eng,260
The Magic Finger,4/5/2001,67,3.68,23558,1092,eng,1639
The Complete Dream Dictionary,4/1/2000,390,3.68,36,0,eng,317
Lord of the Flies,10/1/1999,182,3.68,2036679,26199,eng,1498
The Door in the Hedge,10/13/2003,224,3.68,7941,419,eng,715
Measure for Measure,10/27/2005,224,3.68,58,5,eng,1522
The View from Castle Rock,11/7/2006,349,3.68,3459,423,eng,65
The View From Castle Rock,11/19/2008,368,3.68,53,12,eng,1248
The Rules of Attraction,6/30/1998,283,3.68,35311,974,eng,2145
Lisey's Story,10/24/2006,513,3.68,59097,2709,eng,1800
The Moviegoer,4/14/1998,242,3.68,21634,1660,eng,2142
The Seville Communion,6/7/2004,400,3.68,3912,209,eng,1232
Julius Caesar,10/17/2002,128,3.68,138685,2595,eng,2291
Julius Caesar,6/1/2005,3,3.68,53,3,eng,154
Julius Caesar,5/24/2004,226,3.68,51,2,eng,353
Julius Caesar,7/3/2003,256,3.68,769,78,eng,1888
Black Friday,4/1/2000,480,3.68,9714,220,eng,2159
Miracle on the 17th Green (Travis McKinley #1),5/5/1999,160,3.68,3733,320,eng,1173
An Introduction to the Old Testament Poetic Books,8/8/1988,392,3.68,39,5,eng,1314
Coin Locker Babies,8/9/2002,393,3.68,6440,298,eng,1107
Meridon (The Wideacre Trilogy #3),7/2/2003,569,3.68,8842,380,eng,2198
The Little House,2/1/1998,368,3.68,1910,237,eng,905
The Intuitionist,1/4/1999,255,3.68,7473,903,eng,96
A Madman Dreams of Turing Machines,8/22/2006,230,3.68,1136,180,eng,65
Butterfly Suits (Disney's Little Einsteins),9/1/2006,32,3.68,26,4,eng,575
The Epic of Gilgamesh,6/1/1976,127,3.68,39,6,eng,82
The Epic of Gilgamesh,5/4/2006,120,3.68,54162,1368,eng,1508
The Epic of Gilgamesh,8/1/1989,122,3.68,314,42,eng,1909
Be More Chill,9/1/2005,287,3.68,9836,1202,eng,576
What Life Was Like Amid Splendor and Intrigue: Byzantine Empire AD 330-1453,5/24/1999,144,3.68,49,2,eng,2001
House Corrino (Prelude to Dune #3),8/27/2002,667,3.68,12257,167,eng,1892
Lost and Found,5/31/2005,256,3.68,722,65,eng,530
The General in His Labyrinth,10/26/2004,248,3.68,11939,389,eng,670
Secrets of the Scorpion,4/1/2003,96,3.68,44,0,eng,61
The Duplicate,6/1/1999,154,3.68,484,40,eng,1639
The Boy Who Couldn't Die,4/1/2005,161,3.68,1683,247,eng,929
Identity,4/21/1998,176,3.68,266,31,eng,879
Quicksand,9/15/2006,125,3.68,181,29,eng,596
Pop Internationalism,2/24/1997,221,3.68,310,16,eng,1296
Plan of Attack,10/11/2004,480,3.68,4603,121,eng,1850
Identity,4/21/1999,168,3.68,13601,611,eng,888
The Lost Continent,7/30/2008,108,3.68,1235,59,eng,2182
D.H. Lawrence and Italy: Twilight in Italy/Sea and Sardinia/Etruscan Places,7/1/1997,512,3.68,199,12,eng,1515
The Convenient Marriage,1/6/2005,272,3.68,9272,861,eng,124
Sliver of Truth (Ridley Jones #2),1/2/2007,308,3.68,3015,347,eng,1826
Venice: Tales of the City,1/20/2005,464,3.68,34,3,eng,15
Star Trek: Logs Seven and Eight (Star Trek: Log #7-8),9/5/2006,358,3.68,35,0,eng,530
Star Wars: Empire Volume 6: In the Shadows of Their Fathers,11/7/2006,144,3.68,124,10,eng,502
Clear Light of Day,9/12/2000,183,3.68,2262,144,eng,1232
Ritual Sins,10/1/1997,396,3.68,682,67,eng,1418
The Lemon Table,4/5/2005,241,3.68,2043,167,eng,2139
Wifey / Smart Women,10/2/2001,560,3.68,376,20,eng,1586
Tuscan Countess: The Life and Extraordinary Times of Matilda of Canossa,9/28/2004,312,3.68,51,10,eng,2116
Hannibal's Children,3/25/2003,359,3.68,204,18,eng,260
The Tiny One,10/17/2000,258,3.68,248,43,eng,2139
Back to the Bedroom (Elsie Hawkins #1),2/25/2014,234,3.68,10077,486,eng,879
Make Four Million Dollars by Next Thursday!,7/8/1996,87,3.68,79,12,eng,2262
Kiss,9/7/2000,512,3.68,1587,67,eng,953
The Shakespeare Stealer (Shakespeare Stealer #1),7/1/2000,224,3.68,5582,451,eng,1639
The Age Of Shakespeare,7/7/2005,208,3.68,20,2,eng,1548
The Gunslinger's Bride (Montana Mavericks: Historicals #1),8/24/2001,304,3.68,137,11,eng,871
The Anderson Tapes (Deadly Sins #1),3/15/1987,336,3.68,1275,25,eng,252
The Unauthorized Anne Rice Companion,5/1/1996,246,3.68,97,0,eng,99
Agnes Grey,10/1/2005,224,3.68,418,77,eng,2291
A Passage to India,8/30/2005,376,3.68,55810,2148,eng,1498
The Gun Seller,10/1/1998,340,3.68,14495,1434,eng,2198
El Reino Animal,7/1/2006,256,3.69,16,4,spa,63
Une vie de rêve,5/4/2005,593,3.69,11,4,fre,1585
Vineland,9/1/1997,385,3.69,702,69,eng,1515
Cliffs Notes on Shakespeare's Hamlet,5/30/2000,129,3.69,65,6,eng,428
The Knights / Peace / The Birds / The Assembly Women / Wealth,7/27/1978,335,3.69,42,1,eng,1515
Atlas Shrugged,10/12/1957,1168,3.69,86,12,eng,1658
Wanted!,7/1/1997,230,3.69,1969,193,eng,1793
JPod,5/16/2006,448,3.69,617,72,eng,289
At the Edge of the World (Crispin #2),8/8/2006,234,3.69,2566,254,eng,2291
Of Tender Sin,2/16/2001,181,3.69,150,24,eng,1814
Fergus and the Night-Demon,9/18/2006,32,3.69,81,18,eng,421
Brand New Justice: How Branding Places and Products Can Help the Developing World,1/15/2005,184,3.69,15,0,eng,1740
The Bar on the Seine,12/26/2006,160,3.69,380,54,eng,1498
Whores for Gloria,2/1/1994,160,3.69,932,111,eng,1498
Naomi,4/10/2001,237,3.69,3825,272,eng,2139
Quiet Days in Clichy,1/13/1994,154,3.69,3381,141,eng,824
The Crying of Lot 49,4/1/1999,152,3.69,2161,230,eng,888
Atlas Shrugged,8/1/1999,1168,3.69,322483,14702,eng,1581
Three Tales,1/27/2005,110,3.69,3190,150,eng,1515
The Witches of Worm,5/1/1991,183,3.69,40,12,eng,542
The Crying of Lot 49,10/17/2006,152,3.69,57011,3332,eng,888
O'Brien's the Things They Carried,12/14/2000,128,3.69,24,2,eng,428
The Rabbi,8/12/1987,448,3.69,921,44,eng,700
A Virtuous Woman,11/5/1997,165,3.69,23170,587,eng,2139
Here on Earth,7/1/1999,336,3.69,43028,1472,eng,252
While I Was Gone,5/12/2000,304,3.69,56320,1185,eng,189
Mother of Pearl,6/1/2000,465,3.69,19073,427,eng,2198
The Summons,9/27/2005,384,3.69,58901,1642,eng,544
The Fall of a Sparrow,7/6/1999,464,3.69,824,89,eng,1800
Journey of the Sparrows,12/30/2002,160,3.69,205,25,eng,1639
The Lives of Animals,5/6/2001,136,3.69,1930,139,eng,1628
Early Candlelight,8/15/1992,342,3.69,184,30,eng,1286
I Feel Bad About My Neck: And Other Thoughts on Being a Woman,8/1/2006,137,3.69,38506,4719,eng,1105
Jesus Freaks,4/20/2006,390,3.69,55,7,eng,522
Drat! We're Rats! (Scrambled Legs #1),9/1/2000,160,3.69,41,2,eng,1912
Atlas Shrugged,4/21/2005,1176,3.69,941,136,eng,612
Atlas Shrugged,12/28/2004,1192,3.69,340,51,eng,1330
Atlas Shrugged,3/3/1992,1074,3.69,912,128,eng,1834
What Do Women Want?: Essays by Erica Jong,5/10/2007,309,3.69,164,9,eng,1950
Final Rain (The Survivalist #19),6/1/1989,220,3.69,95,4,eng,2271
Four Mothers,6/10/2000,276,3.69,204,28,eng,1556
The Fourteen Sisters of Emilio Montez O'Brien,12/23/2003,496,3.69,467,31,eng,888
Set This House On Fire,4/5/2001,567,3.69,566,33,eng,2144
