id,titulo,fecha_publicación,num_páginas,ranking,num_votantes_libro,num_comentarios,Id_idioma,id_editorial
2082,The Book of Evidence (The Freddie Montgomery Trilogy #1),6/12/2001,220,3.71,3202,278,eng,2139
2083,Aliens: Original Sin,10/26/2005,256,3.71,247,18,eng,501
2084,The Illuminati,10/4/2004,352,3.71,60,8,eng,1990
2085,Dumbing Down Our Kids: Why American Children Feel Good About Themselves But Can't Read Write or Add,9/15/1996,352,3.71,169,29,eng,820
2086,Thinner,9/1/1996,320,3.71,155020,1513,eng,1834
2087,As I Lay Dying,1/25/2001,231,3.71,1003,101,eng,1301
2088,Children of the Night,6/1/1993,464,3.71,5855,264,eng,2189
2089,Them (Wonderland Quartet #3),9/12/2006,576,3.71,2686,230,eng,1301
2090,Iberia,10/12/1984,960,3.71,2153,152,eng,700
2091,The Satanic Verses,9/26/1988,560,3.71,11,0,eng,1492
2092,See You Around Sam! (Sam Krupnik #3),3/9/1998,128,3.71,244,15,eng,2261
2093,What Was She Thinking? [Notes on a Scandal],6/1/2004,258,3.71,13674,1166,eng,1556
2094,The Worm Ouroboros,4/28/2006,446,3.71,2956,239,eng,596
2095,Love,8/28/1975,336,3.71,1083,51,eng,1492
2096,Holy Madness: The Shock Tactics Radical Teachings Crazy Wise Adepts Holy Fools Rascal Gurus,10/1/1992,320,3.71,16,2,eng,1492
2097,The Virgin's Lover (The Plantagenet and Tudor Novels #13),9/7/2005,441,3.71,43749,1967,eng,2198
2098,Strange Relations,2/7/2006,476,3.71,291,14,eng,185
2099,Rocket Ship Galileo (Heinlein's Juveniles #1),12/28/2004,211,3.71,6329,145,eng,28
2100,The Yiddish Policemen's Union,5/1/2007,414,3.71,53300,5699,eng,437
2101,Notes on a Scandal,3/4/2004,244,3.71,1154,149,eng,1492
2102,Flatterland,3/7/2003,295,3.71,24,3,eng,1458
2103,An Old-Fashioned Thanksgiving,8/1/2005,32,3.71,659,87,eng,437
2104,Rock 'n' Roll,5/10/2007,144,3.71,951,60,eng,824
2105,Gargantua and Pantagruel,5/10/1994,807,3.71,51,11,eng,65
2106,Gargantua and Pantagruel,10/26/2006,1041,3.71,12005,297,eng,1492
2107,Money,4/7/2005,394,3.71,19967,732,eng,2139
2108,The Blood Wood (Earthdawn 6113),6/1/1997,152,3.71,31,1,eng,699
2109,The Various,11/8/2005,448,3.71,825,98,eng,2261
2110,Omerta,5/1/2001,369,3.71,12374,330,eng,188
2111,The War of the Worlds Murder (Disaster Series #6),7/5/2005,256,3.71,196,38,eng,252
2112,You're the One That I Want (Gossip Girl #6),10/6/2004,224,3.71,17875,204,eng,1172
2113,No More Dead Dogs,9/1/2001,180,3.71,12,2,eng,1786
2114,Catherine Called Birdy,6/1/2004,224,3.71,33557,1280,eng,879
2115,Black Ice (Ice #1),4/26/2005,377,3.71,8284,628,eng,1289
2116,Beauty's Release (Sleeping Beauty #3),5/1/1999,238,3.71,23970,570,eng,1492
2117,Nick & Norah's Infinite Playlist,5/23/2006,183,3.71,65091,2971,eng,65
2118,Canada's Incredible Coasts,11/1/1993,199,3.71,7,0,eng,1339
2119,Augustine,6/19/1986,128,3.71,14,3,eng,1453
2120,Waterfront: A Walk Around Manhattan,5/10/2005,450,3.71,254,34,eng,94
2121,The Commanders,1/1/2002,400,3.71,527,26,eng,1850
2122,Wild Magic (Drinker of Souls: Wild Magic #1),12/3/1991,368,3.71,112,4,eng,511
2123,Never Go Back,10/23/2006,464,3.71,1221,85,eng,457
2124,Tomorrow's Promise,5/25/2000,304,3.71,1764,69,eng,1288
2125,Meditations on First Philosophy,10/1/1993,59,3.71,16700,353,eng,842
2126,Discourse on Method and Meditations on First Philosophy,6/15/1999,103,3.71,24689,326,eng,842
2127,The Face,4/27/2004,649,3.71,18747,559,eng,193
2128,Chocolate Chip Cookie Murder (Hannah Swensen #1),9/1/2006,436,3.71,31829,1971,eng,1090
2129,The Keeper's Companion 2: Prohibition Firearms Tomes & Creatures (Call of Cthulhu RPG),12/1/2002,170,3.71,41,1,eng,386
2130,Getting Rid of Bradley,10/25/2001,248,3.71,12528,596,eng,1288
2131,Wither (Wendy Ward #1),3/1/2000,438,3.71,545,40,eng,1585
2132,Star Trek: Logs 7-10,6/1/1995,788,3.71,21,0,eng,1585
2133,The Lure of the Basilisk (The Lords of DÃ»s #1),11/1/2001,208,3.71,493,17,eng,2220
2134,Seminole Song,3/15/1998,320,3.71,46,11,eng,743
2135,The Woman in Black,12/1/2001,138,3.71,31467,3061,eng,509
2136,Gale Gand's Short + Sweet : Quick Desserts with Eight Ingredients or Less,1/13/2004,160,3.71,24,4,eng,423
2137,The Naked Consumer: How Our Private Lives Become Public Commodities,2/1/1994,288,3.71,163,18,eng,1492
2138,The Crucible of Time,6/12/1984,416,3.71,25,3,eng,528
2139,Water Water Everywhere: A Splash & Giggle Bath Book (Baby Einstein),9/1/2003,10,3.71,79,10,eng,1017
2140,On the Edge of the New Century,5/1/2001,192,3.71,82,5,eng,1361
2141,Raven (Orphans #4),1/27/1999,192,3.71,4678,59,eng,1585
2142,Life Is a Caravanserai,8/30/2000,270,3.71,89,8,eng,1278
2143,Slammerkin,5/1/2002,410,3.71,12551,1251,eng,1232
2144,Wartime Lies,10/15/1997,240,3.71,524,54,eng,188
2145,El plan infinito,5/14/2002,336,3.72,514,33,spa,879
2146,Bueno en la Cama,6/1/2003,415,3.72,4,0,spa,2064
2147,CÃ¡ntico de sangre (CrÃ³nicas VampÃ­ricas #10),7/1/2006,416,3.72,143,9,spa,628
2148,Ein Sommernachtsspiel,6/1/1999,410,3.72,1,0,ger,972
2149,Zodiac,4/9/2002,391,3.72,65,0,fre,546
2150,Our Kind of People: Inside America's Black Upper Class,12/22/1999,406,3.72,1170,117,eng,879
2151,The Tale of Genji,7/12/1978,1090,3.72,317,55,eng,65
2152,Like Shaking Hands with God: A Conversation About Writing,12/1/2000,80,3.72,866,52,eng,2198
2153,You Don't Know Jack (NY Girlfriends #2),10/1/2006,255,3.72,2757,119,eng,326
2154,Harpy Thyme (Xanth #17),2/15/1995,352,3.72,6460,63,eng,2023
2155,The J.R.R. Tolkien Handbook: A Comprehensive Guide to His Life Writings and World of Middle-Earth,11/1/2002,316,3.72,32,2,eng,187
2156,Success Stories,4/26/1996,192,3.72,155,11,eng,879
2157,Wildfire (Drinker of Souls: Wild Magic #2),6/2/1992,400,3.72,80,3,eng,511
2158,Ariel Sharon: A Life,10/24/2006,490,3.72,40,6,eng,1658
2159,Beginning PHP and MySQL 5: From Novice to Professional,10/1/2005,913,3.72,158,12,eng,108
2160,Head Over Heels,6/10/1999,448,3.72,3286,128,eng,949
2161,When the Siren Wailed,10/1/1977,157,3.72,16,3,eng,1156
2162,Guidebook to Zen and the Art of Motorcycle Maintenance,11/19/1990,408,3.72,286,10,eng,1317
2163,Running with Scissors,11/4/2006,320,3.72,667,70,eng,146
2164,It's Not About the Bike: My Journey Back to Life,5/3/2001,294,3.72,495,42,eng,2263
2165,Why I Hate Canadians,2/19/2007,220,3.72,630,48,eng,1397
2166,Natural Theology: Comprising Nature & Grace by Professor Dr Emil Brunner & the Reply No! by Dr Karl Barth,12/1/2002,132,3.72,92,11,eng,2242
2167,Hatchet (Brian's Saga #1),4/1/2000,208,3.72,270244,12017,eng,141
2168,Leadership,10/1/2002,397,3.72,1820,147,eng,1172
2169,On Justice Power and Human Nature: Selections from The History of the Peloponnesian War,10/1/1993,172,3.72,610,15,eng,842
2170,It's Not about the Bike: My Journey Back to Life,9/1/2001,294,3.72,35050,1833,eng,252
2171,A General History of the Pyrates,1/26/1999,733,3.72,577,36,eng,596
2172,The Catcher in the Rye - Barron's Book Notes,10/1/1984,120,3.72,775,24,eng,222
2173,What is Art?,8/31/1995,230,3.72,127,24,eng,1492
2174,Plum Lovin' (Stephanie Plum #12.5),1/9/2007,164,3.72,47315,1446,eng,1899
2175,Cliffsnotes on Dostoevsky's Crime and Punishment,11/7/2000,128,3.72,30,0,eng,428
2177,A Case of Need,8/5/2003,416,3.72,17135,654,eng,1834
2178,This Other Eden,7/1/2003,400,3.72,2292,69,eng,280
2179,Don't Get Too Comfortable: The Indignities of Coach Class The Torments of Low Thread Count The Never-Ending Quest for Artisanal Olive Oil and Other First World Problems,9/12/2006,222,3.72,8410,751,eng,94
2180,Time for Ballet,3/30/2004,32,3.72,69,13,eng,559
2181,Timequake,8/6/1998,219,3.72,23527,822,eng,2139
2182,Farewell Summer (Green Town #3),10/17/2006,211,3.72,3405,338,eng,1317
2183,Angels,3/6/2003,209,3.72,4263,227,eng,2139
2184,Murder in Amsterdam: The Death of Theo van Gogh and the Limits of Tolerance,9/7/2006,288,3.72,996,98,eng,1492
2185,Mary Queen of Scots: Pride Passion and a Kingdom Lost,5/4/2001,224,3.72,39,6,eng,1954
2186,The Last of Her Kind,12/12/2006,391,3.72,1459,242,eng,1556
2187,Acts of God: The Unnatural History of Natural Disaster in America,6/1/2006,309,3.72,104,8,eng,1453
2189,Adios Hemingway,3/10/2006,229,3.72,659,85,eng,360
2190,Little Birds,2/2/2004,148,3.72,7888,366,eng,1232
2191,Te Kaihau: The Windeater,2/1/1987,239,3.72,165,16,eng,783
2192,The Guardian,12/31/1994,239,3.72,83,20,eng,1990
2193,Good in Bed (Cannie Shapiro #1),4/2/2002,376,3.72,269843,5384,eng,2198
2194,Naked Conversations: How Blogs Are Changing the Way Businesses Talk with Customers,1/1/2006,251,3.72,547,32,eng,2222
2195,The Midwife's Apprentice,8/16/1996,128,3.72,36039,1585,eng,879
2196,Anthony Powell: A Life,12/27/2005,352,3.72,39,8,eng,22
2197,The Infinite Plan,3/4/1994,384,3.72,7347,300,eng,879
2198,Pendulum: Leon Foucault and the Triumph of Science,9/14/2004,288,3.72,183,25,eng,2198
2199,Everything on a Waffle (Coal Harbour #1),9/8/2004,150,3.72,9839,767,eng,1937
2200,What Life Was Like in the Realm of Elizabeth: England AD 1533-1603 (What Life Was Like),5/24/1999,144,3.72,59,7,eng,2001
2201,Orion (Orion #1),12/15/1992,432,3.72,1386,54,eng,2023
2202,Fire Lover: A True Story,4/30/2002,352,3.72,840,113,eng,1317
2203,Fools Die,10/1/1979,544,3.72,5197,215,eng,1834
2204,The London Blitz Murders (Disaster Series #5),5/4/2004,272,3.72,209,35,eng,252
2205,Son of the Mob (Son of the Mob #1),9/1/2004,262,3.72,5977,620,eng,1172
2206,Hairstyles of the Damned,9/1/2004,270,3.72,5298,468,eng,52
2207,Bookends,5/27/2003,368,3.72,37153,822,eng,336
2208,Drum Calls (Drums of Chaos #2),7/1/1998,341,3.72,29,1,eng,2023
2209,Galatea 2.2,1/1/2004,329,3.72,2155,191,eng,1556
2210,A Writer's Workbook: Daily Exercises for the Writing Life,6/14/2002,176,3.72,152,16,eng,820
2211,The Discovery (Dive #1),6/1/2003,141,3.72,1858,135,eng,105
2212,The Sorority: Samantha (Sorority Trilogy #3),8/1/2003,288,3.72,183,18,eng,1564
2213,Strange Attractors,4/1/1991,176,3.72,230,7,eng,1637
2214,Good Grief: The Story of Charles M. Schulz,12/31/1989,256,3.72,20,1,eng,1545
2215,Trust Fund,1/2/2002,358,3.72,607,22,eng,700
2216,Witness,3/1/2003,161,3.72,4667,703,eng,1786
2217,For Lust of Knowing: The Orientalists and Their Enemies,1/25/2007,304,3.72,10,0,eng,1492
2218,RG Veda Vol. 01,4/12/2005,197,3.72,820,31,eng,2016
2219,Letters from the Bay of Islands: The Story of Marianne Williams,1/1/2004,270,3.72,24,2,eng,1492
2220,Shadow: Five Presidents and the Legacy of Watergate,6/6/2000,608,3.72,1035,42,eng,1850
2221,Zazie in the Metro,10/25/2001,157,3.72,3917,195,eng,1492
2222,The Reign of Istar (Dragonlance: Tales II #1),9/1/2005,352,3.72,27,0,eng,2245
2223,Changeling,1/28/2003,244,3.72,1815,41,eng,1022
2224,Exemplary Stories,5/7/1998,368,3.72,797,29,eng,1453
2225,A Place So Foreign and Eight More,9/8/2003,243,3.72,860,43,eng,748
2226,The Art of the Ridiculous Sublime: On David Lynch's Lost Highway,4/1/2000,56,3.72,275,22,eng,2096
2227,Bookends,6/11/2002,358,3.72,226,31,eng,336
2228,The Ambler Warning,11/1/2006,632,3.72,9289,361,eng,1899
2229,Blood Canticle (The Vampire Chronicles #10),11/4/2004,400,3.72,19036,325,eng,124
2230,Metamorphosis (Star Trek: The Next Generation),3/1/1990,371,3.72,1399,49,eng,1585
2231,Apple Pie 4th of July,5/1/2006,40,3.72,325,104,eng,983
2232,Timequake,10/17/1997,219,3.72,75,7,eng,1075
2233,Dakota,8/30/2005,306,3.72,33,5,eng,1899
2234,The Girl in the Glass,8/16/2005,304,3.72,785,126,eng,1317
2235,Only You Can Save Mankind (Johnny Maxwell #1),7/25/2006,210,3.72,9778,317,eng,879
2236,The Walrus Was Paul: The Great Beatle Death Clues,10/29/1998,208,3.72,441,39,eng,2029
2237,The Admirable Crichton,11/3/2006,88,3.72,304,36,eng,865
2238,The Splendid Outcast: Beryl Markham's African Stories,10/1/1987,139,3.72,307,33,eng,1389
2239,Sk8er Boy (First Kiss Club #1),10/1/2005,181,3.72,357,32,eng,1141
2240,The Dogs of Riga (Kurt Wallander #2),4/13/2004,326,3.72,17060,1016,eng,2139
2241,Leonardo's Swans,1/9/2007,351,3.72,5473,230,eng,94
2242,Big Dead Place: Inside the Strange and Menacing World of Antarctica,6/1/2005,260,3.72,436,95,eng,710
2243,Human Croquet,11/12/1999,352,3.72,6917,548,eng,1556
2244,Baby Proof,6/13/2006,340,3.72,140762,3096,eng,1899
2245,Yanks: The Epic Story of the American Army in World War I,6/4/2002,368,3.72,110,15,eng,756
2246,Journeys in English,2/2/2004,3,3.72,510,60,eng,234
2247,McSweeney's #18,12/8/2005,200,3.72,407,31,eng,1259
2248,Rose (Shooting Stars #3),9/1/2001,185,3.72,2352,29,eng,1585
2249,Double-Cross (Athena Force #4),9/24/2004,304,3.72,38,3,eng,1839
2250,Monster,3/5/2019,281,3.72,56171,5341,eng,90
2251,Kim,11/8/2005,240,3.72,159,19,eng,596
2252,Kim,2/10/2004,306,3.72,113,22,eng,1301
2253,Poor People,2/27/2007,434,3.72,769,139,eng,621
2254,11 de septiembre,9/3/2002,144,3.73,14,2,spa,1833
2255,Amarse con los ojos abiertos,3/1/2004,237,3.73,1425,59,spa,63
2256,Merrick (CrÃ³nicas VampÃ­ricas #7),11/1/2002,414,3.73,99,9,spa,628
2257,Der Richter und sein Henker,6/23/1972,208,3.73,5420,81,ger,999
2258,When the Emperor Was Divine,1/12/2004,160,3.73,180,27,eng,1492
2259,Ulysses,3/30/2000,933,3.73,1517,235,eng,1492
2260,A Gateway to Sindarin: A Grammar of an Elvish Language from J.R.R. Tolkien's Lord of the Rings,11/8/2004,438,3.73,7,0,eng,2095
2261,My Life,6/22/2004,957,3.73,807,49,eng,1102
2262,Hollywood Station (Hollywood Station #1),1/3/2007,340,3.73,2104,220,eng,1172
2263,Dealing in Futures,11/1/1993,352,3.73,193,12,eng,1731
2264,Invisible Residents: The Reality of Underwater UFOs,9/15/2005,100,3.73,62,7,eng,45
2265,Red Herrings and White Elephants: The Origins of the Phrases We Use Every Day,11/1/2005,272,3.73,71,5,eng,879
2266,The Buddha of Suburbia,4/5/2000,284,3.73,384,25,eng,683
2267,Chimera,11/20/2001,308,3.73,1775,86,eng,1232
2268,Ghosthunters and the Incredibly Revolting Ghost (Ghosthunters #1),8/1/2006,144,3.73,1233,146,eng,400
2269,Cliffs of Despair: A Journey to Suicide's Edge,12/18/2007,256,3.73,70,12,eng,1658
2270,Ghosts and Grisly Things,10/11/2001,300,3.73,202,14,eng,2023
2271,The Whole World is Watching: Mass Media in the Making and Unmaking of the New Left with a New Preface,5/1/2003,352,3.73,83,6,eng,2075
2272,The Sixties: Years of Hope Days of Rage,7/1/1993,544,3.73,475,42,eng,193
2273,Alvin Journeyman (Tales of Alvin Maker #4),12/1/2005,381,3.73,13694,231,eng,2023
2274,Murder in the Bastille (Aimee Leduc Investigations #4),4/1/2004,276,3.73,1198,110,eng,1876
2275,A Green Desire,12/4/2001,576,3.73,152,9,eng,879
2276,Reading in the Dark,2/24/1998,256,3.73,3237,227,eng,2139
2277,Bras & Broomsticks (Magic in Manhattan #1),6/13/2006,310,3.73,8709,534,eng,536
2278,Sex Drugs and Cocoa Puffs: A Low Culture Manifesto,7/2/2004,272,3.73,62089,3324,eng,1800
2279,Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture),1/26/1995,212,3.73,10,0,eng,353
2280,The Years of Rice and Salt,6/3/2003,763,3.73,9344,995,eng,193
2281,First Love Second Chance,2/22/1995,304,3.73,13,2,eng,866
2282,On Beauty,8/29/2006,445,3.73,53736,3657,eng,1492
2283,The Tenth Man,2/1/1998,160,3.73,2910,220,eng,2198
2284,Casino Royale (James Bond #1),8/27/2002,181,3.73,48961,2823,eng,1492
2285,The Life Of Dashiell Hammett,1/23/1984,344,3.73,4,0,eng,1658
2286,The Polysyllabic Spree,11/30/2004,143,3.73,6828,621,eng,1259
2287,Medicus (Gaius Petreius Ruso #1),3/6/2007,386,3.73,5723,695,eng,289
2288,This Side of Paradise (Paradise #1),3/31/2005,224,3.73,549,80,eng,1489
2289,What Looks Like Crazy on an Ordinary Day (Idlewild #1),11/1/1998,244,3.73,19366,645,eng,879
2290,We Were the Mulvaneys,9/1/1997,454,3.73,87367,2553,eng,1581
2291,The Brethren,12/27/2005,384,3.73,76085,1505,eng,544
2292,Casino Royale,6/3/2004,181,3.73,371,43,eng,1492
2293,Me and Jezebel: When Bette Davis Came for Dinner -- And Stayed ... And Stayed ... And Stayed ... And ...,5/1/1992,244,3.73,30,5,eng,252
2294,Field of Thirteen,3/2/2004,304,3.73,2053,85,eng,765
2295,The Cat's Pajamas,7/26/2005,234,3.73,1370,122,eng,1317
2296,A Severed Head,11/18/1976,204,3.73,3682,319,eng,1492
2297,Ulysses,10/28/1997,1084,3.73,250,38,eng,665
2298,CliffsNotes on Faulkner's As I Lay Dying (Cliffs Notes),3/13/1964,72,3.73,10,3,eng,428
2299,Mondrian,4/1/1995,235,3.73,26,1,eng,1544
2300,A World of Art,12/22/2006,592,3.73,56,1,eng,1613
2301,Faust Part Two,7/22/1999,304,3.73,3560,87,eng,1453
2302,The Myth of the Magus (Canto Original),4/15/1993,320,3.73,27,2,eng,353
2303,The Dream of Scipio,6/3/2003,416,3.73,3311,320,eng,1721
2304,How to Read a Poem,10/20/2006,182,3.73,445,44,eng,2222
2305,Alberic the Wise,9/1/1992,24,3.73,103,9,eng,1559
2306,Writing the Qualitative Dissertation: Understanding by Doing,7/3/2001,242,3.73,9,0,eng,1634
2307,Experimental Phenomenology: An Introduction,6/30/1986,155,3.73,44,1,eng,1915
2308,The Face on the Milk Carton (Janie Johnson #1),4/13/1996,192,3.73,49975,2360,eng,536
2309,The Mark of the Crown (Star Wars: Jedi Apprentice #4),10/1/1999,131,3.73,2319,63,eng,1786
2310,My Lord Eternity (Immortal Rogues #2),10/1/2003,256,3.73,407,14,eng,2271
2311,Filth,9/17/1998,393,3.73,21997,643,eng,1394
2312,Casino Royale (James Bond #1),10/1/1988,188,3.73,56,8,eng,463
2313,Lucie Babbidge's House,4/1/1993,242,3.73,162,21,eng,437
2314,The Stuffed Owl: An Anthology of Bad Verse,4/30/2003,264,3.73,69,9,eng,1401
2315,Intimate Journals,6/16/2006,128,3.73,217,27,eng,596
2316,The Cave,2/24/2006,424,3.73,95,16,eng,2101
2317,Flight Dreams (Mark Manning Mystery #1),6/16/2000,230,3.73,150,13,eng,1090
2318,First Impressions,10/24/2006,301,3.73,5641,315,eng,1839
2319,The Mystery in the Rocky Mountains,4/1/2001,145,3.73,34,6,eng,366
2320,Works of Hesiod and the Homeric Hymns,1/15/2005,230,3.73,34,4,eng,2076
2321,Cold Sleep (Cold Series #1),8/9/2006,226,3.73,278,14,eng,566
2322,Faust Part Two,2/28/1960,288,3.73,128,15,eng,1492
2323,Shadowmarch (Shadowmarch #1),11/1/2005,656,3.73,126,14,eng,511
2324,Shadowmarch (Shadowmarch #1),9/5/2006,796,3.73,9677,377,eng,511
2325,The Confusions of Young TÃ¶rless,9/27/2001,176,3.73,4374,179,eng,1492
2326,My Life as a Man,1/13/1994,334,3.73,1561,101,eng,2139
2327,The Island of Doctor Moreau,5/1/1994,153,3.73,71933,2443,eng,193
2328,Mysteria (Mysteria #1),7/5/2006,340,3.73,3046,96,eng,252
2329,Above and Beyond,2/23/2004,240,3.73,2149,87,eng,1289
2330,On Friendship,9/6/2005,128,3.73,50,6,eng,1492
2331,The Woman Warrior,4/23/1989,204,3.73,21189,1195,eng,2139
2332,Bad Boys In Black Tie (Watson Brothers #3),5/1/2004,278,3.73,2164,70,eng,326
2333,Spy Catcher: The Candid Autobiography of a Senior Intelligence Officer,7/30/1987,392,3.73,159,22,eng,1492
2334,All Over You (Secret Lives of Daytime Divas #2),3/27/2007,251,3.73,521,35,eng,866
2335,Complete Idiot's Guide to The Beatles,12/1/1997,384,3.73,15,2,eng,78
2336,The Whole World Is Watching: Mass Media in the Making & Unmaking of the New Left,10/15/1981,344,3.73,10,1,eng,2075
2337,Warren G. Harding (The American Presidents #29),1/7/2004,202,3.73,764,82,eng,2008
2338,Filth,7/1/1999,393,3.73,148,17,eng,2139
2339,11-sep,12/4/2001,140,3.73,3070,172,eng,1818
2340,Company,3/13/2007,338,3.73,4938,404,eng,2139
2341,Naughty Little Secret,8/1/2006,212,3.73,2323,161,eng,1771
2342,The Day My Butt Went Psycho,4/1/2003,220,3.73,1853,232,eng,1786
2343,Ghost Ship: A Cape Cod Story,4/3/2007,32,3.73,353,38,eng,1864
2344,J.K. Rowling - A Biography,5/1/2003,248,3.73,937,41,eng,1275
2345,McSweeney's #14,9/27/2004,306,3.73,334,21,eng,1259
2346,Merrick (The Vampire Chronicles #7),10/2/2001,370,3.73,35529,478,eng,188
2347,The Nixie's Song (Beyond the Spiderwick Chronicles #1),9/18/2007,162,3.73,9927,416,eng,1864
2348,Ojos de perro azul,2/7/2006,192,3.74,3303,116,spa,1577
2349,El diablo de la botella,7/15/2018,77,3.74,34,2,spa,1385
2350,Halbschlaf im Froschpyjama,11/2/1998,459,3.74,22,2,ger,1746
2351,Homo faber: Ein Bericht.,1/1/1995,298,3.74,37,5,ger,1039
2352,La Petite Fille du Lac,3/6/2003,363,3.74,2,0,fre,1119
2353,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",4/26/2005,152,3.74,19,1,eng,1379
2354,The Game: Penetrating the Secret Society of Pickup Artists,9/6/2005,464,3.74,20529,1592,eng,1054
2355,Body For Life: 12 Weeks to Mental and Physical Strength,6/10/1999,201,3.74,3877,275,eng,437
2356,Murder at Ford's Theatre (Capital Crimes #19),9/30/2003,376,3.74,623,68,eng,700
2357,Jenny and the Jaws of Life: Short Stories,9/14/2002,272,3.74,1307,178,eng,820
2358,Night Beat: A Shadow History of Rock & Roll,2/1/1999,496,3.74,67,8,eng,1102
2359,Romeo and Juliet,8/1/2005,228,3.74,425,30,eng,353
2360,Miracle at St. Anna,1/7/2003,336,3.74,2141,303,eng,1721
2361,The Lost Painting,11/7/2006,320,3.74,24619,765,eng,1658
2362,Mortals,7/13/2004,736,3.74,469,57,eng,2139
2363,Historical Metaphors and Mythical Realities: Structure in the Early History of the Sandwich Islands Kingdom,3/16/1981,84,3.74,127,7,eng,2081
2364,The Magic of Krynn (DragonLance: Tales I #1),5/15/2000,350,3.74,7543,39,eng,2245
2365,A Three Dog Life,9/5/2006,182,3.74,191,47,eng,854
2366,Hot Stuff (Cate Madigan #1),4/3/2007,281,3.74,9285,404,eng,1899
2367,Songmaster,12/6/2002,352,3.74,6399,286,eng,1423
2368,Ten Great Works of Philosophy,3/1/2002,592,3.74,95,11,eng,1834
2369,CliffsNotes on Faulkner's The Sound and the Fury (Cliffs Notes),10/3/1963,72,3.74,30,9,eng,428
2370,Moonraker,6/3/2004,247,3.74,120,13,eng,1492
2371,The God in the Moon (Age of Conan: Hyborian Adventures: A Soldier's Quest #1),7/25/2006,297,3.74,59,4,eng,28
2372,Fast Food Nation: The Dark Side of the All-American Meal,7/5/2005,399,3.74,190039,4922,eng,879
2373,Fast Food Nation: What The All-American Meal is Doing to the World,4/4/2002,384,3.74,811,77,eng,1492
2374,Salt: A World History,1/28/2003,484,3.74,50335,3012,eng,1492
2375,Gorgias/Timaeus,7/15/2003,256,3.74,34,5,eng,596
2376,Moonraker (James Bond #3),12/31/2002,247,3.74,15204,780,eng,1492
2377,Fever Pitch,3/1/1998,247,3.74,28830,1069,eng,1721
2378,The Devil Wears Prada (The Devil Wears Prada #1),5/30/2006,432,3.74,744569,7247,eng,94
2379,Drowning Ruth,7/31/2001,368,3.74,74161,2159,eng,188
2380,Romeo & Juliet,1/1/1993,288,3.74,179,4,eng,1348
2381,The Tale of Genji: Scenes from the World's First Novel (Illustrated Japanese Classics),10/26/2001,238,3.74,46,5,eng,1107
2382,Birthright (Diablo: The Sin War #1),10/1/2006,326,3.74,1246,69,eng,1585
2384,Half Asleep in Frog Pajamas,1/5/2002,389,3.74,18417,542,eng,1380
2385,Homo Faber,5/1/1994,228,3.74,12491,267,eng,1232
2386,Baudolino,10/6/2003,527,3.74,16116,698,eng,854
2387,Irish Girls Are Back in Town,3/1/2005,384,3.74,805,36,eng,3
2388,Three Plays,6/1/1985,200,3.74,7,0,eng,1269
2389,Sing Down the Moon,3/26/1997,124,3.74,6548,356,eng,1127
2390,Hamlet's Dresser: A Memoir,2/1/2003,288,3.74,375,63,eng,1800
2391,Dairy Queen (Dairy Queen #1),5/22/2006,275,3.74,25441,2241,eng,999
2392,Romeo and Juliet,1/1/2004,368,3.74,1893917,14637,eng,1864
2393,Romeo and Juliet,10/23/1997,3,3.74,18,0,eng,1343
2394,All-American Girl (All-American Girl #1),7/22/2003,398,3.74,59683,1728,eng,879
2395,Moon-Flash (Kyreol #1-2),3/17/2005,304,3.74,348,13,eng,715
2396,The Battle Of Corrin (Legends of Dune #3),9/1/2004,624,3.74,59,2,eng,984
2397,Gerontius,4/17/2002,272,3.74,4,2,eng,1397
2398,Forever Peace (The Forever War #2),10/1/1998,351,3.74,16338,422,eng,28
2399,Homepage Usability: 50 Websites Deconstructed,11/15/2001,336,3.74,341,12,eng,1364
2400,Zero Debt: The Ultimate Guide to Financial Freedom,8/1/2004,204,3.74,49,10,eng,44
2401,The Sultan's Bought Bride (Princess Brides #1),8/25/2004,192,3.74,224,20,eng,866
2402,The Invisible Heart: An Economic Romance,2/22/2002,282,3.74,609,90,eng,1296
2403,Dance Down the Stars (Duel of Sorcery: Dancer #3),9/1/1994,368,3.74,35,0,eng,511
2404,Size 12 Is Not Fat (Heather Wells #1),12/27/2005,345,3.74,75856,2408,eng,1317
2405,Ship of Fools,12/31/2001,370,3.74,2192,206,eng,28
2406,Brightness Falls,8/6/2001,432,3.74,46,0,eng,289
2407,Common Ground: The Water Earth and Air We Share,10/1/1997,40,3.74,98,29,eng,305
2408,The Lost Painting,11/1/2005,368,3.74,5,0,eng,1658
2409,Sixty Million Frenchmen Can't Be Wrong,5/1/2003,351,3.74,2164,212,eng,1881
2410,The Smoke Thief (Drakon #1),9/26/2006,352,3.74,6780,566,eng,193
2411,A Pale View of Hills,3/3/2005,183,3.74,12858,1036,eng,683
2412,Inner Circle (Carol Ashton Mysteries #8),10/1/1996,196,3.74,72,1,eng,1329
2413,Adam's Fall (Mason Sisters #2),11/27/2001,208,3.74,3065,94,eng,193
2414,Tom Jones,5/5/1992,734,3.74,564,48,eng,2249
2415,The Philosophy of Andy Warhol (From A to B and Back Again),4/6/1977,272,3.74,33697,402,eng,1232
